City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,pushkinskiye gory,57.0209,28.9103,7.87,56,18,3.32,RU,1711447363
337,vila franca do campo,37.7167,-25.4333,15.23,74,90,7.26,PT,1711447364
338,uttar char fasson,22.2332,90.7132,28.66,62,0,6.72,BD,1711447364
339,pasil,17.3833,121.1333,23.23,73,52,0.97,PH,1711447365
340,roccella ionica,38.322,16.4009,15.33,92,100,3.91,IT,1711447365
341,hassi messaoud,31.6804,6.0729,24.92,25,0,7.72,DZ,1711447365
342,zunyi,27.6867,106.9072,15.42,79,100,5.45,CN,1711447366
343,akureyri,65.6835,-18.0878,-7.04,79,75,1.54,IS,1711447261
344,chinde,26.8418,88.0763,20.9,47,30,2.0,NP,1711447367
345,balykshi,47.0667,51.8667,9.0,93,75,5.0,KZ,1711447368
346,ust-tsilma,65.441,52.1498,-6.88,90,100,2.24,RU,1711447368
347,aswan,24.0934,32.907,24.61,27,0,3.09,EG,1711447344
348,shalqar,47.8333,59.6,17.37,50,100,11.61,KZ,1711447369
349,kupang,-10.1667,123.5833,28.32,94,75,2.57,ID,1711447370
350,arroio grande,-32.2375,-53.0869,15.03,91,23,1.41,BR,1711447370
351,hithadhoo,-0.6,73.0833,29.27,72,96,2.97,MV,1711447371
352,yel'nya,54.5786,33.1837,4.92,70,100,2.79,RU,1711447371
353,mount pleasant,32.7941,-79.8626,16.67,82,100,4.63,US,1711447244
354,gan,43.2333,-0.3833,4.59,93,75,6.17,FR,1711447372
355,natal,-5.795,-35.2094,26.12,89,40,2.57,BR,1711446904
356,fale old settlement,-9.3852,-171.2468,28.74,74,96,2.8,TK,1711447373
357,yeraliyev,43.2,51.65,9.02,72,83,8.86,KZ,1711447374
358,howard springs,-12.497,131.047,27.95,92,37,2.31,AU,1711447374
359,itamaraju,-17.0392,-39.5311,23.91,88,51,1.9,BR,1711447375
360,aroma,15.8167,36.1333,32.45,14,0,4.57,SD,1711447375
